        2.9500E+03 (5.9000E+01)     0.1076 ( 0.0005)
        2.1000E+04 (4.2000E+02)     0.0144 ( 0.0004)
        3.5200E+04 (4.0000E-01)     0.0041 ( 0.0008)
        4.1200E+04 (4.0000E-01)     0.0016 ( 0.0003)
        5.9935E+04 (3.0000E-01)     0.0005 ( 0.0001)
        6.3516E+04 (3.0000E-01)     0.0001 ( 0.0000)
        6.4264E+04 (4.0000E-01)     0.0000 ( 0.0000)
        6.4399E+04 (0.0000E+00)     0.0000 ( 0.0000)
        6.5935E+04 (3.0000E-01)     0.0002 ( 0.0000)
        6.9516E+04 (3.0000E-01)     0.0000 ( 0.0000)
        7.0264E+04 (4.0000E-01)     0.0000 ( 0.0000)
        7.0399E+04 (0.0000E+00)     0.0000 ( 0.0000)
        8.2300E+04 (4.0000E-01)     0.0061 ( 0.0012)
        1.0330E+05 (4.0000E-01)     0.0621 ( 0.0124)
        1.0704E+05 (3.0000E-01)     0.0008 ( 0.0002)
        1.1062E+05 (3.0000E-01)     0.0002 ( 0.0000)
        1.1136E+05 (4.0000E-01)     0.0000 ( 0.0000)
        1.1150E+05 (0.0000E+00)     0.0000 ( 0.0000)
        1.2804E+05 (3.0000E-01)     0.0146 ( 0.0029)
        1.3162E+05 (3.0000E-01)     0.0030 ( 0.0006)
        1.3236E+05 (4.0000E-01)     0.0005 ( 0.0001)
        1.3250E+05 (0.0000E+00)     0.0000 ( 0.0000)
        1.3980E+05 (4.0000E-01)     0.0003 ( 0.0001)
        1.6454E+05 (3.0000E-01)     0.0000 ( 0.0000)
        1.6812E+05 (3.0000E-01)     0.0000 ( 0.0000)
        1.6886E+05 (4.0000E-01)     0.0000 ( 0.0000)
        1.6900E+05 (0.0000E+00)     0.0000 ( 0.0000)
        1.7390E+05 (4.0000E-01)     0.0031 ( 0.0006)
        1.9750E+05 (4.0000E-01)     0.0001 ( 0.0000)
        1.9864E+05 (3.0000E-01)     0.0004 ( 0.0001)
        2.0080E+05 (4.0000E-01)     0.0004 ( 0.0001)
        2.0222E+05 (3.0000E-01)     0.0001 ( 0.0000)
        2.0296E+05 (4.0000E-01)     0.0000 ( 0.0000)
        2.0310E+05 (0.0000E+00)     0.0000 ( 0.0000)
        2.2224E+05 (3.0000E-01)     0.0000 ( 0.0000)
        2.2554E+05 (3.0000E-01)     0.0001 ( 0.0000)
        2.2582E+05 (3.0000E-01)     0.0000 ( 0.0000)
        2.2656E+05 (4.0000E-01)     0.0000 ( 0.0000)
        2.2670E+05 (0.0000E+00)     0.0000 ( 0.0000)
        2.2912E+05 (3.0000E-01)     0.0000 ( 0.0000)
        2.2986E+05 (4.0000E-01)     0.0000 ( 0.0000)
        2.3000E+05 (0.0000E+00)     0.0000 ( 0.0000)
        2.7040E+05 (4.0000E-01)     0.0138 ( 0.0028)
        2.8150E+05 (4.0000E-01)     0.0002 ( 0.0000)
        2.9514E+05 (3.0000E-01)     0.0021 ( 0.0004)
        2.9872E+05 (3.0000E-01)     0.0004 ( 0.0001)
        2.9946E+05 (4.0000E-01)     0.0001 ( 0.0000)
        2.9960E+05 (0.0000E+00)     0.0000 ( 0.0000)
        3.0624E+05 (3.0000E-01)     0.0000 ( 0.0000)
        3.0982E+05 (3.0000E-01)     0.0000 ( 0.0000)
        3.1056E+05 (4.0000E-01)     0.0000 ( 0.0000)
        3.1070E+05 (0.0000E+00)     0.0000 ( 0.0000)
        3.4590E+05 (4.0000E-01)     0.0087 ( 0.0017)
        3.7064E+05 (3.0000E-01)     0.0013 ( 0.0003)
        3.7422E+05 (3.0000E-01)     0.0002 ( 0.0000)
        3.7496E+05 (4.0000E-01)     0.0000 ( 0.0000)
        3.7510E+05 (0.0000E+00)     0.0000 ( 0.0000)
        4.4990E+05 (4.0000E-01)     0.0019 ( 0.0004)
        4.7464E+05 (3.0000E-01)     0.0002 ( 0.0000)
        4.7822E+05 (3.0000E-01)     0.0000 ( 0.0000)
        4.7896E+05 (4.0000E-01)     0.0000 ( 0.0000)
        4.7910E+05 (0.0000E+00)     0.0000 ( 0.0000)
        4.9700E+05 (4.0000E-01)     0.0003 ( 0.0001)
        5.2174E+05 (3.0000E-01)     0.0000 ( 0.0000)
        5.2532E+05 (3.0000E-01)     0.0000 ( 0.0000)
        5.2606E+05 (4.0000E-01)     0.0000 ( 0.0000)
        5.2620E+05 (0.0000E+00)     0.0000 ( 0.0000)
        4.3870E+06 (4.0000E-01)     0.0000 ( 0.0000)
        4.4117E+06 (3.0000E-01)     0.0000 ( 0.0000)
        4.4153E+06 (3.0000E-01)     0.0000 ( 0.0000)
        4.4161E+06 (4.0000E-01)     0.0000 ( 0.0000)
        4.4162E+06 (0.0000E+00)     0.0000 ( 0.0000)
