Nucleus	Z	N	A	Qbn (MeV) [NNDC]
124Rh	45	79	124	7.5(9)
127Ag	47	80	127	5.75(20)
129Ag	47	82	129	7.2(4)
130Ag	47	83	130	9.3(4)
131Cd	48	83	131	6.59(11)
132Cd	48	84	132	9.69(20)
131In	49	82	131	4.036(3)
132In	49	83	132	6.78(6)
133In	49	84	133	11.01(20)
134In	49	85	134	11.1(3)
135In	49	86	135	11.8(4)
136In	49	87	136	12.1(4)
136Sn	50	86	136	5.7(3)
137Sn	50	87	137	6.6(4)
136Sb	51	85	136	5.151(6)
140Sb	51	89	140	8.2(6)
140Te	52	88	140	3.82(6)
142I	53	89	142	5.4(4)
144I	53	91	144	6.9(4)
