RI	No.	Half-life	+-	P1n	+-	P2n	+-	isfixt1/2	t1/2min	t1/2max	isfixp1n	p1nmin	p1nmax	isfixp2n	p2nmin	p2nmax
134In	1	0.14	0.004	0.8	0.5	0.2	0.5	0	0.014	1.4	0	0.6	1	0	0	0.4
134Sn	2	1.00631	0.0348002	0.242142	0.00111407	0	0	1	0.100631	10.0631	1	0	1	1	0	1
133Sn	3	1.46	0.03	0.000294	0.000024	0	0	1	0.146	14.6	1	0	1	1	0	1
134Sb	4	0.78	0.06	0	0	0	0	1	0.078	7.8	1	0	1	1	0	1
133Sb	5	140.4	3	0	0	0	0	1	14.04	1404	1	0	1	1	0	1
132Sn	6	39.7	0.8	0	0	0	0	1	3.97	397	1	0	1	1	0	1
134Te	7	2508	48	0	0	0	0	1	250.8	25080	1	0	1	1	0	1
133Te	8	750	18	0	0	0	0	1	75	7500	1	0	1	1	0	1
132Sb	9	167.4	4.2	0	0	0	0	1	16.74	1674	1	0	1	1	0	1

