# Note should start from #, non-zero upper value indicate varying variable, half-life is in second														
# RI should be in the sequences of increasing Z and decreasing A for each isotropic row														
#TimeToSec	1year	31556900	1day	86400	1hour	3600	1Min	60						
#Name	Z	A	Half-life	Abs Error Half-life	lowerHL	upperHL	P1n	Abs Error P1n	lowerP1n	upperP1n	P2n	Abs Error P2n	lowerP2n	upperP2n
#Parent														
Nb	41	110	-0.086	0.006	0.005	0.2	-40	8	0	100	0	0	0	100
#Z+1														
Mo	42	110	0.296	0.017	0.148	0.592	2	0.7	0	100	0	0	0	100
Mo	42	109	0.61	0.04	0.305	1.22	1.3	0.6	0	100	0	0	0	100
Mo	42	108	1.09	0.02	0.545	2.18	0	0	0	100	0	0	0	100
#Z+2														
Tc	43	110	0.9	0.013	0.45	1.8	0.04	0.02	0	100	0	0	0	100
Tc	43	109	0.84	0.06	0.42	1.68	0.046	0.046	0	100	0	0	0	100
Tc	43	108	5.17	0.07	2.585	10.34	0	0	0	100	0	0	0	100
#Z+3														
Ru	44	110	12.04	0.17	6.02	24.08	0	0	0	100	0	0	0	100
Ru	44	109	34.4	0.2	17.2	68.8	0	0	0	100	0	0	0	100
Ru	44	108	273	3	136.5	546	0	0	0	100	0	0	0	100
#Z+4														
Rh	45	110	3.35	0.12	1.675	6.7	0	0	0	100	0	0	0	100
Rh	45	109	80.8	0.7	40.4	161.6	0	0	0	100	0	0	0	100
Rh	45	108	16.8	0.5	8.4	33.6	0	0	0	100	0	0	0	100
#Z+5														
Pd	46	109	48924	432	24462	97848	0	0	0	100	0	0	0	100
