# HybridConf_140b_V68_Jul16Jul17.geo					
# Point neutron source					
# Total Events	250000				
# Code 	brikenV69				
# Date 	04May18				
# Calculations by A. Navarro/A. Tarifeño-Saldivia					
# Efficiency	(0,0,-10)	(0,0,0)	(0,0,10)		
# Average [1e-4, 1] MeV	69.03%	67.03%	69.00%		
# Average [1e-4, 5] MeV	62.01%	61.55%	61.87%		
# Average [1e-4, 10] MeV	53.78%	53.66%	53.66%		
#					
#X/cm	Y/cm	Z/cm	Energy/MeV	Efficiency	Std. Error
0	0	-10	0.000000001	0.5825	0.0015
0	0	-10	0.000000004	0.5934	0.0015
0	0	-10	0.000000007	0.6037	0.0016
0	0	-10	0.00000001	0.6105	0.0016
0	0	-10	0.00000004	0.6422	0.0016
0	0	-10	0.00000007	0.6588	0.0016
0	0	-10	0.0000001	0.6727	0.0016
0	0	-10	0.0000004	0.6985	0.0017
0	0	-10	0.0000007	0.7036	0.0017
0	0	-10	0.000001	0.7074	0.0017
0	0	-10	0.000004	0.7144	0.0017
0	0	-10	0.000007	0.715	0.0017
0	0	-10	0.00001	0.7159	0.0017
0	0	-10	0.00004	0.7159	0.0017
0	0	-10	0.00007	0.7153	0.0017
0	0	-10	0.0001	0.7145	0.0017
0	0	-10	0.0004	0.7114	0.0017
0	0	-10	0.0007	0.7116	0.0017
0	0	-10	0.001	0.7078	0.0017
0	0	-10	0.004	0.7052	0.0017
0	0	-10	0.007	0.7053	0.0017
0	0	-10	0.01	0.7019	0.0017
0	0	-10	0.04	0.6975	0.0017
0	0	-10	0.07	0.6973	0.0017
0	0	-10	0.1	0.6938	0.0017
0	0	-10	0.2	0.6913	0.0017
0	0	-10	0.3	0.6867	0.0017
0	0	-10	0.4	0.6834	0.0017
0	0	-10	0.5	0.6787	0.0016
0	0	-10	0.6	0.6746	0.0016
0	0	-10	0.7	0.6698	0.0016
0	0	-10	0.8	0.6662	0.0016
0	0	-10	0.9	0.6618	0.0016
0	0	-10	1	0.6578	0.0016
0	0	-10	1.1	0.6549	0.0016
0	0	-10	1.2	0.6519	0.0016
0	0	-10	1.3	0.6472	0.0016
0	0	-10	1.4	0.6426	0.0016
0	0	-10	1.5	0.6393	0.0016
0	0	-10	1.6	0.6328	0.0016
0	0	-10	1.7	0.6307	0.0016
0	0	-10	1.8	0.6253	0.0016
0	0	-10	1.9	0.6201	0.0016
0	0	-10	2	0.6188	0.0016
0	0	-10	2.1	0.6154	0.0016
0	0	-10	2.2	0.612	0.0016
0	0	-10	2.3	0.6087	0.0016
0	0	-10	2.4	0.6057	0.0016
0	0	-10	2.5	0.6034	0.0016
0	0	-10	2.6	0.5982	0.0015
0	0	-10	2.7	0.5964	0.0015
0	0	-10	2.8	0.5941	0.0015
0	0	-10	2.9	0.597	0.0015
0	0	-10	3	0.578	0.0015
0	0	-10	3.1	0.5815	0.0015
0	0	-10	3.2	0.5836	0.0015
0	0	-10	3.3	0.5849	0.0015
0	0	-10	3.4	0.5826	0.0015
