# HybridConf_140b_V68_Jul16Jul17.geo					
# Point neutron source					
# Total Events	25000				
# Code 	brikenV68				
# Date 	13Feb18				
# Calculations by A. Navarro/A. Tarifeño-Saldivia					
# Efficiency	(0,0,-10)	(0,0,0)	(0,0,10)		
# Average [1e-4, 1] MeV	70.25%	68.24%	70.37%		
# Average [1e-4, 5] MeV	62.81%	62.68%	62.76%		
# Average [1e-4, 10] MeV	54.10%	54.44%	54.08%		
#					
#X/cm	Y/cm	Z/cm	Energy/MeV	Efficiency	Std. Error
0	0	-10	0.000000001	0.5922	0.0049
0	0	-10	0.000000004	0.6104	0.0049
0	0	-10	0.000000007	0.619	0.005
0	0	-10	0.00000001	0.6263	0.005
0	0	-10	0.00000004	0.6557	0.0051
0	0	-10	0.00000007	0.6718	0.0052
0	0	-10	0.0000001	0.6866	0.0052
0	0	-10	0.0000004	0.7171	0.0054
0	0	-10	0.0000007	0.726	0.0054
0	0	-10	0.000001	0.7252	0.0054
0	0	-10	0.000004	0.7272	0.0054
0	0	-10	0.000007	0.7336	0.0054
0	0	-10	0.00001	0.7262	0.0054
0	0	-10	0.00004	0.7335	0.0054
0	0	-10	0.00007	0.7284	0.0054
0	0	-10	0.0001	0.7261	0.0054
0	0	-10	0.0004	0.7262	0.0054
0	0	-10	0.0007	0.7207	0.0054
0	0	-10	0.001	0.727	0.0054
0	0	-10	0.004	0.7203	0.0054
0	0	-10	0.007	0.7181	0.0054
0	0	-10	0.01	0.7156	0.0054
0	0	-10	0.04	0.7116	0.0053
0	0	-10	0.07	0.7048	0.0053
0	0	-10	0.1	0.7071	0.0053
0	0	-10	0.2	0.7007	0.0053
0	0	-10	0.3	0.699	0.0053
0	0	-10	0.4	0.6944	0.0053
0	0	-10	0.5	0.6937	0.0053
0	0	-10	0.6	0.6819	0.0052
0	0	-10	0.7	0.6801	0.0052
0	0	-10	0.8	0.6758	0.0052
0	0	-10	0.9	0.6763	0.0052
0	0	-10	1	0.6677	0.0052
0	0	-10	1.1	0.6683	0.0052
0	0	-10	1.2	0.6588	0.0051
0	0	-10	1.3	0.6579	0.0051
0	0	-10	1.4	0.6522	0.0051
0	0	-10	1.5	0.6502	0.0051
0	0	-10	1.6	0.6383	0.0051
0	0	-10	1.7	0.6352	0.005
0	0	-10	1.8	0.636	0.005
0	0	-10	1.9	0.6364	0.005
0	0	-10	2	0.6304	0.005
0	0	-10	2.1	0.6254	0.005
0	0	-10	2.2	0.6146	0.005
0	0	-10	2.3	0.616	0.005
0	0	-10	2.4	0.6118	0.0049
0	0	-10	2.5	0.6074	0.0049
0	0	-10	2.6	0.604	0.0049
0	0	-10	2.7	0.6003	0.0049
0	0	-10	2.8	0.6038	0.0049
0	0	-10	2.9	0.5982	0.0049
0	0	-10	3	0.5876	0.0048
0	0	-10	3.1	0.5887	0.0049
0	0	-10	3.2	0.5878	0.0048
0	0	-10	3.3	0.592	0.0049
0	0	-10	3.4	0.5896	0.0049
0	0	-10	3.5	0.5872	0.0048
0	0	-10	3.6	0.5825	0.0048
0	0	-10	3.7	0.5788	0.0048
0	0	-10	3.8	0.5806	0.0048
0	0	-10	3.9	0.5677	0.0048
0	0	-10	4	0.5626	0.0047
0	0	-10	4.1	0.5628	0.0047
0	0	-10	4.2	0.5552	0.0047
0	0	-10	4.3	0.5493	0.0047
0	0	-10	4.4	0.539	0.0046
0	0	-10	4.5	0.5381	0.0046
0	0	-10	4.6	0.5329	0.0046
0	0	-10	4.7	0.5263	0.0046
0	0	-10	4.8	0.5204	0.0046
0	0	-10	4.9	0.5208	0.0046
0	0	-10	5	0.5164	0.0045
0	0	-10	5.1	0.505	0.0045
0	0	-10	5.2	0.5043	0.0045
0	0	-10	5.3	0.5056	0.0045
0	0	-10	5.4	0.5011	0.0045
0	0	-10	5.5	0.4996	0.0045
0	0	-10	5.6	0.5006	0.0045
0	0	-10	5.7	0.4949	0.0044
0	0	-10	5.8	0.4921	0.0044
0	0	-10	5.9	0.4886	0.0044
0	0	-10	6	0.4914	0.0044
0	0	-10	6.1	0.4847	0.0044
0	0	-10	6.2	0.487	0.0044
0	0	-10	6.3	0.504	0.0045
0	0	-10	6.4	0.4753	0.0044
0	0	-10	6.5	0.4712	0.0043
0	0	-10	6.6	0.4607	0.0043
0	0	-10	6.7	0.4635	0.0043
0	0	-10	6.8	0.4558	0.0043
0	0	-10	6.9	0.4455	0.0042
0	0	-10	7	0.4484	0.0042
0	0	-10	7.1	0.444	0.0042
0	0	-10	7.2	0.4385	0.0042
0	0	-10	7.3	0.4351	0.0042
0	0	-10	7.4	0.4504	0.0042
0	0	-10	7.5	0.4571	0.0043
0	0	-10	7.6	0.4569	0.0043
0	0	-10	7.7	0.4492	0.0042
0	0	-10	7.8	0.4484	0.0042
0	0	-10	7.9	0.4349	0.0042
0	0	-10	8	0.4305	0.0041
0	0	-10	8.1	0.4288	0.0041
0	0	-10	8.2	0.4241	0.0041
0	0	-10	8.3	0.4139	0.0041
0	0	-10	8.4	0.4091	0.004
0	0	-10	8.5	0.4088	0.004
0	0	-10	8.6	0.4019	0.004
0	0	-10	8.7	0.4051	0.004
0	0	-10	8.8	0.4014	0.004
0	0	-10	8.9	0.3912	0.004
0	0	-10	9	0.3941	0.004
0	0	-10	9.1	0.3872	0.0039
0	0	-10	9.2	0.3788	0.0039
0	0	-10	9.3	0.3753	0.0039
0	0	-10	9.4	0.3715	0.0039
0	0	-10	9.5	0.3708	0.0039
0	0	-10	9.6	0.3676	0.0038
0	0	-10	9.7	0.3665	0.0038
0	0	-10	9.8	0.3695	0.0038
0	0	-10	9.9	0.3618	0.0038
0	0	-10	10	0.359	0.0038
					
0	0	-5	0.000000001	0.5482	0.0047
0	0	-5	0.000000004	0.5618	0.0047
0	0	-5	0.000000007	0.581	0.0048
0	0	-5	0.00000001	0.5801	0.0048
0	0	-5	0.00000004	0.614	0.005
0	0	-5	0.00000007	0.6286	0.005
0	0	-5	0.0000001	0.6446	0.0051
0	0	-5	0.0000004	0.6742	0.0052
0	0	-5	0.0000007	0.6869	0.0052
0	0	-5	0.000001	0.688	0.0052
0	0	-5	0.000004	0.6959	0.0053
0	0	-5	0.000007	0.6907	0.0053
0	0	-5	0.00001	0.6971	0.0053
0	0	-5	0.00004	0.7003	0.0053
0	0	-5	0.00007	0.6976	0.0053
0	0	-5	0.0001	0.6988	0.0053
0	0	-5	0.0004	0.7013	0.0053
0	0	-5	0.0007	0.6958	0.0053
0	0	-5	0.001	0.6989	0.0053
0	0	-5	0.004	0.6963	0.0053
0	0	-5	0.007	0.6956	0.0053
0	0	-5	0.01	0.6911	0.0053
0	0	-5	0.04	0.6903	0.0053
0	0	-5	0.07	0.6918	0.0053
0	0	-5	0.1	0.6915	0.0053
0	0	-5	0.2	0.6895	0.0053
0	0	-5	0.3	0.6862	0.0052
0	0	-5	0.4	0.6876	0.0052
0	0	-5	0.5	0.6807	0.0052
0	0	-5	0.6	0.6802	0.0052
0	0	-5	0.7	0.6748	0.0052
0	0	-5	0.8	0.6742	0.0052
0	0	-5	0.9	0.6689	0.0052
0	0	-5	1	0.6672	0.0052
0	0	-5	1.1	0.6669	0.0052
0	0	-5	1.2	0.6593	0.0051
0	0	-5	1.3	0.6593	0.0051
0	0	-5	1.4	0.649	0.0051
0	0	-5	1.5	0.6468	0.0051
0	0	-5	1.6	0.6468	0.0051
0	0	-5	1.7	0.6428	0.0051
0	0	-5	1.8	0.6357	0.005
0	0	-5	1.9	0.6338	0.005
0	0	-5	2	0.6257	0.005
0	0	-5	2.1	0.6192	0.005
0	0	-5	2.2	0.6104	0.0049
0	0	-5	2.3	0.6126	0.005
0	0	-5	2.4	0.6116	0.0049
0	0	-5	2.5	0.61	0.0049
0	0	-5	2.6	0.6052	0.0049
0	0	-5	2.7	0.6066	0.0049
0	0	-5	2.8	0.602	0.0049
0	0	-5	2.9	0.6094	0.0049
0	0	-5	3	0.5924	0.0049
0	0	-5	3.1	0.5882	0.0049
0	0	-5	3.2	0.59	0.0049
0	0	-5	3.3	0.5894	0.0049
0	0	-5	3.4	0.5884	0.0049
0	0	-5	3.5	0.5946	0.0049
0	0	-5	3.6	0.5882	0.0049
0	0	-5	3.7	0.5875	0.0048
0	0	-5	3.8	0.5814	0.0048
0	0	-5	3.9	0.5767	0.0048
0	0	-5	4	0.5707	0.0048
0	0	-5	4.1	0.5642	0.0048
0	0	-5	4.2	0.556	0.0047
0	0	-5	4.3	0.5529	0.0047
0	0	-5	4.4	0.5426	0.0047
0	0	-5	4.5	0.5379	0.0046
0	0	-5	4.6	0.5349	0.0046
0	0	-5	4.7	0.5316	0.0046
0	0	-5	4.8	0.5214	0.0046
0	0	-5	4.9	0.5236	0.0046
0	0	-5	5	0.522	0.0046
0	0	-5	5.1	0.513	0.0045
0	0	-5	5.2	0.5088	0.0045
0	0	-5	5.3	0.5078	0.0045
0	0	-5	5.4	0.5035	0.0045
0	0	-5	5.5	0.5008	0.0045
0	0	-5	5.6	0.4972	0.0045
0	0	-5	5.7	0.4986	0.0045
0	0	-5	5.8	0.4957	0.0045
0	0	-5	5.9	0.4907	0.0044
0	0	-5	6	0.491	0.0044
0	0	-5	6.1	0.4947	0.0044
0	0	-5	6.2	0.4958	0.0045
0	0	-5	6.3	0.5093	0.0045
0	0	-5	6.4	0.4857	0.0044
0	0	-5	6.5	0.4636	0.0043
0	0	-5	6.6	0.4602	0.0043
0	0	-5	6.7	0.4668	0.0043
0	0	-5	6.8	0.463	0.0043
0	0	-5	6.9	0.4566	0.0043
0	0	-5	7	0.455	0.0043
0	0	-5	7.1	0.4545	0.0043
0	0	-5	7.2	0.445	0.0042
0	0	-5	7.3	0.4422	0.0042
0	0	-5	7.4	0.4557	0.0043
0	0	-5	7.5	0.4601	0.0043
0	0	-5	7.6	0.4542	0.0043
0	0	-5	7.7	0.4508	0.0042
0	0	-5	7.8	0.4506	0.0042
0	0	-5	7.9	0.4383	0.0042
0	0	-5	8	0.439	0.0042
0	0	-5	8.1	0.4286	0.0041
0	0	-5	8.2	0.4299	0.0041
0	0	-5	8.3	0.4205	0.0041
0	0	-5	8.4	0.4071	0.004
0	0	-5	8.5	0.4034	0.004
0	0	-5	8.6	0.4104	0.0041
0	0	-5	8.7	0.4042	0.004
0	0	-5	8.8	0.4074	0.004
0	0	-5	8.9	0.3965	0.004
0	0	-5	9	0.3941	0.004
0	0	-5	9.1	0.393	0.004
0	0	-5	9.2	0.383	0.0039
0	0	-5	9.3	0.3751	0.0039
0	0	-5	9.4	0.3749	0.0039
0	0	-5	9.5	0.3709	0.0039
0	0	-5	9.6	0.3728	0.0039
0	0	-5	9.7	0.3749	0.0039
0	0	-5	9.8	0.3703	0.0038
0	0	-5	9.9	0.3659	0.0038
0	0	-5	10	0.3649	0.0038
					
0	0	0	0.000000001	0.5229	0.0046
0	0	0	0.000000004	0.5376	0.0046
0	0	0	0.000000007	0.5463	0.0047
0	0	0	0.00000001	0.5571	0.0047
0	0	0	0.00000004	0.585	0.0048
0	0	0	0.00000007	0.6067	0.0049
0	0	0	0.0000001	0.6282	0.005
0	0	0	0.0000004	0.653	0.0051
0	0	0	0.0000007	0.6594	0.0051
0	0	0	0.000001	0.6694	0.0052
0	0	0	0.000004	0.6773	0.0052
0	0	0	0.000007	0.6843	0.0052
0	0	0	0.00001	0.6852	0.0052
0	0	0	0.00004	0.6928	0.0053
0	0	0	0.00007	0.69	0.0053
0	0	0	0.0001	0.6908	0.0053
0	0	0	0.0004	0.688	0.0052
0	0	0	0.0007	0.688	0.0052
0	0	0	0.001	0.6873	0.0052
0	0	0	0.004	0.6903	0.0053
0	0	0	0.007	0.6891	0.0053
0	0	0	0.01	0.6853	0.0052
0	0	0	0.04	0.6868	0.0052
0	0	0	0.07	0.6833	0.0052
0	0	0	0.1	0.6838	0.0052
0	0	0	0.2	0.6869	0.0052
0	0	0	0.3	0.6861	0.0052
0	0	0	0.4	0.6836	0.0052
0	0	0	0.5	0.681	0.0052
0	0	0	0.6	0.6813	0.0052
0	0	0	0.7	0.6724	0.0052
0	0	0	0.8	0.6698	0.0052
0	0	0	0.9	0.6718	0.0052
0	0	0	1	0.6607	0.0051
0	0	0	1.1	0.6651	0.0052
0	0	0	1.2	0.659	0.0051
0	0	0	1.3	0.6585	0.0051
0	0	0	1.4	0.6539	0.0051
0	0	0	1.5	0.6451	0.0051
0	0	0	1.6	0.641	0.0051
