



 PAIRING FACTOR=  0.500

 M*,R0  A DEPENDENT AND ALP= 0.600

 WITHOUT BOTTOM RAISING



 ALL-F
 ALL-G-T
 1ST-0A
 1ST-1V
 1ST-1A
 1ST-2A

 MODIFIED  LORENTZ TYPE II + HYPERBOLIC-SEC

 SIGMA1,2 INDEPEND ON THE MASS NUMBER AND SIGMA3=     40.00
 GAMMA=      100.00
 C1= 0.700     C2= 0.300

-----------------------------------------------------------


Calculated by using Gross Theory ver.2  with KTUY mass formula




 Beta    Z    N    A       Q-value   Half-life
 
minus                       (MeV)       (sec)


   -1    1    3    4        19.2970  0.3275E-01
   -1    1    4    5        18.4415  0.2244E-02
   -1    1    5    6        24.9707  0.2693E-02
   -1    1    6    7        25.4824  0.7197E-03
   -1    2    4    6         2.2166  0.2529E+01
   -1    2    5    7         9.8991  0.5170E-01
   -1    2    6    8         9.9423  0.1228E-01
   -1    2    7    9        17.2491  0.5979E-02
   -1    2    8   10        17.7057  0.1460E-02
   -1    2    9   11        22.1960  0.1196E-02
   -1    3    5    8        13.5478  0.2300E+00
   -1    3    6    9        12.2664  0.6372E-01
   -1    3    7   10        21.0336  0.1575E-01
   -1    3    8   11        20.8784  0.4735E-02
   -1    3    9   12        25.3906  0.3694E-02
   -1    3   10   13        23.2024  0.1895E-02
   -1    3   11   14        29.2953  0.1133E-02
   -1    3   12   15        29.5671  0.4845E-03
   -1    4    6   10         1.1099  0.3574E+03
   -1    4    7   11        11.1074  0.1577E+00
   -1    4    8   12        10.9561  0.3766E-01
   -1    4    9   13        17.2656  0.1481E-01
   -1    4   10   14        16.5980  0.5075E-02
   -1    4   11   15        21.2416  0.3611E-02
   -1    4   12   16        21.1228  0.1403E-02
   -1    4   13   17        25.4953  0.1096E-02
   -1    4   14   18        25.7439  0.4931E-03
   -1    4   15   19        29.4785  0.4344E-03
   -1    5    7   12        12.5782  0.4183E+00
   -1    5    8   13        12.0556  0.1360E+00
   -1    5    9   14        19.5716  0.3491E-01
   -1    5   10   15        18.8344  0.1216E-01
   -1    5   11   16        23.9178  0.7519E-02
   -1    5   12   17        23.3031  0.2962E-02
   -1    5   13   18        27.7296  0.2251E-02
   -1    5   14   19        27.5719  0.9679E-03
   -1    5   15   20        31.8703  0.7660E-03
   -1    5   16   21        31.8468  0.3768E-03
   -1    5   17   22        35.2091  0.3498E-03
   -1    6    8   14         0.0513  0.3784E+08
   -1    6    9   15         8.7632  0.6533E+00
   -1    6   10   16         7.8311  0.2481E+00
   -1    6   11   17        13.3292  0.7473E-01
   -1    6   12   18        12.7977  0.2324E-01
   -1    6   13   19        17.9146  0.1222E-01
   -1    6   14   20        17.6961  0.4399E-02
   -1    6   15   21        22.8446  0.2601E-02
   -1    6   16   22        22.6582  0.1158E-02
   -1    6   17   23        27.3065  0.8243E-03
   -1    6   18   24        26.6205  0.4734E-03
   -1    6   19   25        30.1830  0.4152E-03
   -1    6   20   26        29.5347  0.2560E-03
   -1    7    9   16         9.2941  0.1797E+01
   -1    7   10   17         8.0807  0.1023E+01
   -1    7   11   18        13.8416  0.2655E+00
   -1    7   12   19        12.9929  0.9511E-01
   -1    7   13   20        18.2102  0.4239E-01
   -1    7   14   21        17.6363  0.1540E-01
   -1    7   15   22        23.0925  0.7530E-02
   -1    7   16   23        22.6183  0.3169E-02
   -1    7   17   24        28.0130  0.1791E-02
   -1    7   18   25        27.1749  0.9687E-03
   -1    7   19   26        30.8166  0.8272E-03
   -1    7   20   27        30.0203  0.4894E-03
   -1    7   21   28        33.7351  0.4112E-03
   -1    7   22   29        33.0342  0.2580E-03
   -1    7   23   30        36.1442  0.2386E-03
   -1    8   11   19         4.4653  0.1406E+02
   -1    8   12   20         3.1041  0.1625E+02
   -1    8   13   21         8.1864  0.9097E+00
   -1    8   14   22         7.2276  0.3659E+00
   -1    8   15   23        12.8355  0.8416E-01
   -1    8   16   24        12.3338  0.2821E-01
   -1    8   17   25        17.7915  0.1166E-01
   -1    8   18   26        17.0884  0.5204E-02
   -1    8   19   27        20.9625  0.3860E-02
   -1    8   20   28        20.0529  0.2077E-02
   -1    8   21   29        23.7701  0.1641E-02
   -1    8   22   30        23.1020  0.9363E-03
   -1    8   23   31        26.5591  0.7888E-03
   -1    8   24   32        25.7709  0.4976E-03
   -1    8   25   33        28.8180  0.4524E-03
   -1    8   26   34        27.8370  0.3104E-03
   -1    9   11   20         6.0832  0.1081E+02
   -1    9   12   21         4.6477  0.1343E+02
   -1    9   13   22         9.7441  0.1914E+01
   -1    9   14   23         8.4785  0.8486E+00
   -1    9   15   24        14.2772  0.1905E+00
   -1    9   16   25        13.7566  0.6509E-01
   -1    9   17   26        19.0502  0.2614E-01
   -1    9   18   27        18.3405  0.1091E-01
   -1    9   19   28        22.5683  0.7114E-02
   -1    9   20   29        21.7843  0.3486E-02
   -1    9   21   30        25.6420  0.2621E-02
   -1    9   22   31        24.6102  0.1523E-02
   -1    9   23   32        28.1148  0.1263E-02
   -1    9   24   33        27.2764  0.7644E-03
   -1    9   25   34        30.5463  0.6660E-03
   -1    9   26   35        29.5494  0.4422E-03
   -1    9   27   36        32.4238  0.4127E-03
   -1    9   28   37        31.1952  0.2974E-03
   -1   10   13   23         3.3129  0.6374E+02
   -1   10   14   24         1.8375  0.1882E+03
   -1   10   15   25         7.8246  0.1403E+01
   -1   10   16   26         7.2281  0.4663E+00
   -1   10   17   27        12.4326  0.1144E+00
   -1   10   18   28        11.5592  0.4509E-01
   -1   10   19   29        15.9407  0.2358E-01
   -1   10   20   30        15.1989  0.1033E-01
   -1   10   21   31        19.5009  0.6235E-02
   -1   10   22   32        18.2126  0.3668E-02
   -1   10   23   33        21.7549  0.2884E-02
   -1   10   24   34        20.8784  0.1675E-02
   -1   10   25   35        24.3457  0.1359E-02
   -1   10   26   36        23.4991  0.8499E-03
   -1   10   27   37        26.8224  0.7155E-03
   -1   10   28   38        25.7681  0.4936E-03
   -1   10   29   39        28.5022  0.4644E-03
   -1   10   30   40        27.8032  0.3125E-03
   -1   10   31   41        30.6087  0.2881E-03
   -1   11   13   24         4.5132  0.4050E+02
   -1   11   14   25         2.9782  0.1078E+03
   -1   11   15   26         9.2781  0.2792E+01
